"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Belarus","BLR","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30300","31600","32400","32200","","","31900","32360","32940","32166","30722","27418","26151","23671","22949","22640","23638","23916","23907","23644","23595","23150","22383","22029","22385","22497","22241","22269","22266","22500","22534","22480","",
"Belize","BLZ","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1880","1921","1983","","2274","2109","2127","2245","2268","2299","2325","2367","2391","2486","2329","2321","2548","2552","2630","2566","2623","2598","2501","2496","2519","",
"Bermuda","BMU","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","341","363","354","346","325","","374","319","262","262","312","326","322","316","309","","","","","","","","","","463","","478","","","","536","548","548","560","571","567","","","","608","486","429","573","610","398","420","","","","","","","","",
"Bolivia","BOL","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58441","","","","","","","","","","","98085","94212","94902","82523","80126","78953","77838","76851","76914","76543","76491","76564","76410","76473","",
"Brazil","BRA","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","457406","","","","","","","","","","","","","","","","","","","","","","","","","","","","","807053","815079","858813","867003","877204","887428","886781","","754291","773624","770703","762132","774575","786411","789575","795014","791787","793276","796457","798957","783517","774646","772790","813441","","",
"Barbados","BRB","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","1227","1261","","","","1492","1317","1421","","","","1609","1602","","1553","","","","","","","1395","1393","1422","1471","1460","1416","1469","","1553","1698","1607","1742","1720","","","1665","1560","1553","1446","1445","1398","1476","1537","1597","1628","",
"Brunei Darussalam","BRN","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","1190","1406","1478","1527","1584","1582","1679","1761","1996","1657","1671","1800","1923","2048","2331","2165","2225","","2725","2842","","2543","2561","2646","2772","2924","","","3238","3282","3324","3262","3536","3775","4263","4548","3683","3628","3595","3739","3896","3861","4038","4146","4004","4033","3969","3890","3989","4014","4258","3983","3868","3849","",
"Bhutan","BTN","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","436","461","468","","538","","","773","814","897","","","1050","1167","1149","","1321","1398","1513","","","1817","","1859","","1829","","","1986","1946","2068","2234","","","","3203","3503","","3551","3929","2405","2379","2467","3638","","2482","2523.5","2565","2511","2481","2793","2787","3118","","",
"Botswana","BWA","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","2275","2404","2467","2698","3047","3509","3921","4495","4641","4863","5316","5628","5767","6360","6794","6980","7324","7704","8104","8529","8956","9833","10463","11190","11731","12306","","11454","11654","11950","12135","12370","12531","12678","12717","12884","13012","12989","13045","12964","","","14427","15035","15200","14533","","","","","","14313","16622","","",
"Central African Republic","CAF","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","2768","2696","2963","3083","3159","3329","3505","3690","3893","4010","4130","4284","4364","4268","","4718","4544","4563","4226","3581","4004","","","","","","","","","","","","","","4653","","","5827","6427","7553","7974","8267","","","","9756","11334","","","","","","","",
"Canada","CAN","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","142533","142283","132220","135010","135890","142705","148670","149500","154698","156432","150264","151436","148724","148565","","133911","140720","141045","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","510139.875","","","","","","","","","","","","","583770.0625","581318.9375","566212.375","567199.0625","571484.25","567375.5625","547339","535662.75","515220","482745.5","453595.03125","445586.34375","440033.8125","432093","430623","430727","428992","425774","397050","394887","396932","396556.4375","407843.96875","420477.5","421191.0625","482907.1875","454465.9375","337365.78125","334295.96875","337233.125","339831.09375","",
