"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Least developed countries: UN classification","LDC","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","620672.8125","642000.25","680956.9375","718080.125","735249.625","776853.9375","827203.125","871545.9375","941671.375","990861.375","991822.375","1012513.5","1037881.0625","1088752.375","1156583.5","1174012.75","1217286","1224686.25","1260761.75","1278406.25","1294390.875","1354401","1398868.75","1445081.625","1470266.125","1536039.875","1598156.625","1663581","1722222.375","1801911.875","1850713.75","1925815.375","2022148.25","2135379.75","2278405.5","2384974.5","2540021.25","2683852.25","2838142.5","2948807","3118516","3302773","3481380.75","3625145.5","3781320.5","3914022.75","4095014.75","4246873.5","4388986","4410913","4460204","4549550","4617591.5","","",
"Low income","LIC","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","415464.78125","427311.4375","442093.84375","465199.46875","482487.5625","505582.3125","531376.8125","558685.5625","580486.9375","603108.4375","624834.0625","646693.0625","649421.5625","669359.375","693216.875","708723.125","742308.875","756091.0625","772436.5625","787230.75","787943.4375","826736","850555.1875","878141.5","889297.75","937263.25","961836.5","999922.375","1040206.125","1080414.75","1101882.625","1162585","1232782.625","1276631","1379686","1454820.875","1562886","1635107.875","1758833","1851202.5","1941585.25","2005656.5","2125570.75","2179205.75","2345646.5","2437918","2569264.25","2689275.75","2836631.5","2863101.75","2904850.5","2985502.25","3040339","3103601.5","",
"Liechtenstein","LIE","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","242","260","260","268","315","332","328","337","257","266","261","247.10823059082","252","260","257","257","263","279","283","","","",
"Sri Lanka","LKA","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","48096","50665","60835","","","","","","","","","","","","","","69965","70008","70108","70537","66339","","","","","67265","69570","71201","70236","73471","68657","68114","69436","69948","71957","72114","71721","74415","75143","76803","76426","76173","78389","78641","77927","71903","71668","","",
"Lower middle income","LMC","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","2770838.75","2849491.25","2958104.25","3066102.5","3140434.5","3261498.5","3332799.75","3493361","3604474","3725603","3827997","3971242","4144070.25","4350152.5","4512559","4582956.5","4697214","4728182","4906423","5245623.5","5220365","5387618","5561420","5792570.5","5949827","6039524","6179314.5","6359043","6442544.5","6564962","6720626.5","6798729.5","6852425.5","7256842.5","7434174","7608783","7705391","7838708.5","8046563","8292565","8577532","9042215","9178394","9938754","10082507","10163386","10424337","10372696","10188121","10450456","10698751","10842831","10812613","11028907","",
"Low & middle income","LMY","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","9706445","10008358","10674610","11175695","11638231","12111716","12552720","12825172","13009143","13334230","13815316","14271590","14736387","15174111","15494863","15671131","15938642","16105258","16471278","17037544","17205126","17445698","17687108","18037934","18312976","18582826","18852220","19138854","19322348","19505756","19682016","19939558","19984688","20673624","21327408","21515828","21705808","22051420","22244636","22639508","23101168","23596798","23881624","24988714","25283842","25657968","26285268","26198272","26300446","26887242","27337238","27748850","27879314","28160264","",
"Lesotho","LSO","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","3964","3877","3936","3951","4139","4226","4233","4304","4421","4782","5097","5350","5295","5670","5648","5663","5773","5880","6210","6275","6448","6685","7051","7292","7433","7923","7898","8089","","8225","8578","8762","8908","9294","9993","10154","10418","10778","11301","11536","11508","11378","11200","11324","11167","10930","10687","11167","10235","10193","9932","10011","10022","10021","",
"Late-demographic dividend","LTE","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","5707332.5","5853054.5","6337571.5","6651177.5","6932425","7188020.5","7457669","7579608","7586871","7627829","7859862","8002861","8161121.5","8130728.5","8137353.5","8129499","8179748","8259274.5","8368772","8458648","8616375","8624134","8680700","8737602","8811555","8924446","9023264","9111994","9185293","9193730","9181225","9263332","9007236","9178094","9600538","9503356","9341490","9376117","9398740","9391421","9355328","9306672","9312034","9331763","9395730","9417928","9477139","9591792","9870861","10060740","10118837","10287409","10397725","10421409","",
"Lithuania","LTU","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","6800","","","","","6800","","","9400","10378","11319","12158","12500","12881","13444","13697","14095","14401","13285","13265","13265","12104","11800","11561","11237","11024","10843","10441","10111","9531","9312","8961","8642","8441","8401","8330","8425","8501","8507","8547","8439","8555","","",
"Luxembourg","LUX","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","1597","1750","1723","1757","1857","1484","1521","","1437","1449","1795","1765","1734","1685","1660","","1745","1768","1762","1790","1770","1764","","","","","","","","","","2834","2893","2966","3002","3091","3191","3218","2992","","3786","3903","4228","4330","4338","4247","4411","","4718","4916","5009","5490.89453125","5727.99951171875","","",
"Latvia","LVA","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","7102","7142","7142","7283","7507","7788","8236","8592","9181","9309","9475","9468","9889","9329","10056","10357","10883","9489","9191","8935","8379","7942","7544","7124","6915","6699","10989","10541","10934","9566","9959","10296","10221","10338","10537","10619","10532","10622","10563","10457","10240","9923","","",
"Macao SAR, China","MAC","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","886","812","","676","610","753","1196","829","801","","","","","","","","","","","","","","","","","","","","1505","1578","1613","1616","1615","1632","1609","1617","1618","1671","1585","1577","1602","1606","1622","1669","1722","1908","2105","2235","2402","2540","2642","2752","2836","",
"St. Martin (French part)","MAF","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","34277","34882","36446","37585","38486","","","","","54361","56908","63675","67682","71731","82874","81867","82438","83787","84411","86588","91680","95206","98734","102452","106393","109817","114406","117481","123021","127582","136558","142335","145553","147730","148438","146298","143846","146187","144722","150367","151477","155481","154754","157019","156072","154252","150198","161288","171812","166728","171569","175292","180715","",
"Monaco","MCO","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","71","","","","","","","","","","","","","","","","","","","","","","","106","102","","","90","","89","","","","","","","","","","","","","","155","146","193","193","170","176","182","171","184","",
"Moldova","MDA","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","8003","","","","","9500","","","11105","12070","13024","13415","13295","13230","13322","14209","14097","","12367","12080","11648","11654","11087","10493","10259","10033","9876","9566","9231","9160","9037","8747","8468","8235","7936","7913","7880","7819","7771","7744","7579","7525","7467","",
"Madagascar","MDG","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","14424","15553","16579","16351","18688","20134","23937","27371","31601","34467","39474","42197","43898","43157","42462","","","37439","37894","37932","38933","39637","38743","37676","39713","44145","","40591","42678","46051","49413","50700","55309","64270","67137","76831","78743","85257","90265","105673","99551","102229","27767","110528","115640","116635.6","120351","122097","126649","129008","133272","133704","135269","",
"Maldives","MDV","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2805","3051","3246","3155","3411","3644","2786","2882","3336","3463","3551","3524","3602","3275","3405","3411","3292","4075","4252","4460","4582","4951","","","4671.24760168841","","",
"Middle East & North Africa","MEA","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","500548.5","522825.34375","545704.375","561592.5","603110.125","638691.125","691891.8125","743838.3125","752694.3125","772477","837941.25","870063.875","932373.375","1080206.75","1136255.125","1196055.75","1247061.75","1248590.375","1293208.5","1475451","1407831.25","1475306.125","1503329.625","1567179.125","1603495.5","1630143.625","1653933.75","1727104.625","1748620","1785487.375","1828582.375","1882811","1917732.875","1921286.75","1956358.375","2015187.375","2045722.5","2058245.625","2089576.75","2084918.75","2104358.5","2184077","2336959.25","2415480.75","2461007.5","2467953.75","2464296","2462626.75","2498567.25","2573472.25","2543788.25","2551544","2509795","2579139.75","",
"Mexico","MEX","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","201453","208257","","243735","242029","255939","274717","286156","","","375220","400417","415425","428029","437408","449760","456919","463115","468044","466532","471625","479616","486686","496472","507669","516051","524927","531389","539853","543694","548215","552409","557278","519161","519112","521183","522733","524517","528555","529599","531256","533866","575337","573238","574276","574210","573284","571520","572104","572961","568857","567929","","",
"Marshall Islands","MHL","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","550","","","517","","","","","","","","","","","","","","","","","","","504.200042724609","488.150024414062","","",
"Middle income","MIC","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","9290980","9581046","10232517","10710496","11155744","11606134","12021343","12266486","12428656","12731122","13190482","13624897","14086966","14504751","14801646","14962408","15196333","15349167","15698841","16250314","16417183","16618962","16836552","17159792","17423678","17645562","17890384","18138930","18282142","18425340","18580132","18776972","18751906","19396992","19947722","20061006","20142924","20416314","20485802","20788306","21159582","21591142","21756054","22809508","22938194","23220050","23716004","23508996","23463816","24024140","24432388","24763348","24838974","25056662","",
"North Macedonia","MKD","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5855","5865","5884","5729","5718","5766","5681","5684","5492","5519","6661","6859","6949","6999","7081","7060","7137","7554","7357","7317","7457","7484","7435","7525","7675","","",
"Mali","MLI","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","5086","5305","5570","5498","5866","6213","6530","6540","6877","7054","6862","7278","7932","8356","8442","8593","8560","8124","8440","8405","8156","7963","8688","8363","8274","8718","9677","10853","15447","15567","17788","21756","22577","26737","27688","30515","33230","35442","38413","40052","43629","50676","50095","51363","52148","60288","66418","65485","","63784","68691","","59920","",
"Malta","MLT","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","1569","1492","1434","1718","","1421","1529","","","1569","1538","1588","1604","1391","1523","1534","1521","1572","1686","1601","1607","1514","1554","1579","1595","1618","1675","1691","1779","1790","1765","1716","1745","1654","1608","1611","1650","1528","","1748","1909","2058","1701.80004882812","1798.8310546875","1824.75","1932.69995117188","1993.61499023438","","2102.0400390625","2143.65991210938","2102.419921875","","","",
"Myanmar","MMR","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","68156","71136","71136","","65079","66251","67093","76253","80343","82543","80343","78265","82799","89539","87631","87482","86171","97763","96139","107867","111470","115793","118684","119725","119942","","","","154686","148254","148231","146747","149001","154151","160110","166195","172209","177331","179268","181666","","","","187828","","241433","233815","217561","","","","","","",
"Middle East & North Africa (excluding high income)","MNA","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","440491.21875","460298","480006.0625","492672","530582.1875","561622.375","607589.1875","652959.8125","656313.8125","671097.5625","729246.8125","753573.125","810315.375","951726.25","1001371.625","1053871.875","1097755.125","1091557","1130341.25","1298807.25","1221720","1279088.25","1293503.375","1341054.375","1366553.125","1383193.875","1397268.875","1460971","1472085","1499606.125","1530896.875","1568561.125","1585062.25","1571658","1587221","1622139.875","1642425.125","1647373.125","1658601.5","1660722.125","1663255.5","1730033.375","1863404.375","1903778.5","1943524","1972110.375","1996181.125","2008222.75","2072208.375","2147932.25","2102436.5","2119128.25","2064319.875","2085671.75","",
"Montenegro","MNE","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mongolia","MNG","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","4800","4921","","","4144","","","","","4482","4496","","4700","","","5064","5045","5140","5409","5550","5917","6230","6165","6299","6704","7088","7587","7730","7750","7778","7755","7591","7757","7172","7338","7562","7572","7694","8320","9060","9059","8916","8895","8795","8901","9241","9564","10238","10736","10735","11260","11509","11744","",
"Northern Mariana Islands","MNP","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","7220","7493","8345","","","","15000","16142","16308","","17030","18751","20769","21903","20286","20756","20884","21410","21031","23107","22236","22474","22396","22544","24575","","","34114","37440","39754","42914","44960","","54721","59434","61932","70389","76558","82753","90236","94798","97717","101372","104051","107976","112730","117065","118743","121488","124777","","133644","","",
"Mauritania","MRT","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","1331","1585","","","1352","1439","1668","1765","1857","1865","2183","2335","2401","2629","2738","2785","3023","3166","3254","3497","3741","4039","4276","4686","5224","5659","6225","7064","7366","7909","8636","9604","9606","10652","11001","11252","11379","12724","13131","14303","13640","13795","16082","17227","17669","16536","16964","19116","16630","","","","22372","",
"Mauritius","MUS","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","4731","4815","4952","5278","5568","5791","5848","6088","6352","6567","6379","6638","6623","6572","6465","6450","6371","6504","6404","6324","6507","6369","6272","5931","5483","5137","5215","5200","5065","5107","5178","5379","5256","5620","5741","5531","5598","5548","5495","5454","5472","5701","5427","5512","5629","5400","5468","5184","5534","5639","5903","5936","","5640","",
"Malawi","MWI","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40836","","","","","","","","37675","40787","40284","48170","53031","56541","65044","66732","71363","65928","71161","75697","83431","83031","84086","84798","85449","",
"Malaysia","MYS","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","54366","","","","","59343","","61267","63636","64270","73664","77100","79796","81664","83760","91424","","102356","109563","112204","120505","126139","130482","134579","139343","140430","147128","","132443","142996","154720","154233","159041","174504","180682","189521","205513","214984","223335","245871","256615","262708","270069","274348","278496","269757","267060","264648","258596","250694","255394","266743","253358","254669","",
"North America","NAC","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","1581105.625","1557599","1546529","1560322.75","1560650","1580574.25","1598678","1608151.375","1597407.875","1591764.125","1578074.75","1594792.125","1622240","1648769.25","1680714.25","1709507.75","1759004.75","1805544.75","1824281.875","1825467.75","1853562","1880999.5","1896719.25","1917240.75","1932529.375","1960747.875","1934956.25","1926810.125","1920483.5","1899540.5","1876659.75","1886104.125","1925142","1977853.25","2004123.5","2002437.5","1949518","1952804","2019535","2034946.25","2060276.25","",
"Namibia","NAM","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10912","","","12381","12902","13026","13124","12062","12327","12579","12970","12926","12191","13113","12800","13675","13854","13516","13652","","15283","","","16803","17456","18070","18335","18566","19038","19201","19622","","",
"New Caledonia","NCL","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","940","1087","1040","1117","1149","1231","1275","1265","1322","1318","","1288","1305","1226","1175","1131","1153","1143","1128","1155","1147","1096","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Niger","NER","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","2275","2524","2517","2736","2974","3617","4019","4298","4567","5358","5518","5608","6005","6327","7052","7383","7690","","8019","8462","8835","8835","10027","","10820","11285","11376","11545","12901","14249","15668","18441","20553","22429","24362","28163","31131","34117","40021","44710","48976","52913","59653","63688","66750","72021","76185","68975","67285","73533","69272","67536","68237","",
"Nigeria","NGA","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","103152","116640","130434","136142","","","144351","177221","251362","291457","301427","343551","369636","386826","383989","359701","308072","292821","308182","344221","331915","353600","384212","428097","435210","423059","416745","","","432096","446405","488164","491751","590655","597532","599172","565646","466784","","","574078","","","","","523429","453248","480112","913579","1001336","823581","913305","","","",
"Nicaragua","NIC","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","7645","8053","8139","7914","8494","8817","9486","9759","9986","11894","13318","","14105","15329","15534","16872","17199","18137","17783","18746","19022","18646","18901","19913","20626","20116","21020","21807","21061","24144","23510","23643","26226","26899","26899","28163","29039","31188","32349","","30571","31031","31031","40809","","28337","30791","","","","","32743","30115","29707","",
"Netherlands","NLD","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","49243","50141","50182","50988","52503","52700","52718","53720","55362","56730","57536","55874","60434","57293","56371","66388","64429","64130","62784","62319","63022","63100","64700","63872","","","","","","","","","","","","","","","","","111752","111039","107656","104815.46875","103930.1171875","101643.1015625","100110.171875","100658.0234375","101033.7421875","101723.96875","101614","101843","","",
"Norway","NOR","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","19713","21489","22303","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47444","48123.6015625","48583.28125","48644.48046875","51737.12109375","52720.3984375","51481.44140625","51256.140625","51613.10546875","52064.13671875","","",
"Nepal","NPL","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","17988","","20467","20084","17526","18874","20775","23395","24652","26384","27805","29134","32259","38131","46484","51266","53405","55207","57204","63945","71213","74495","77948","79590","81544","82645","89378","91464","","91878","99382","97879","96659","110173","112360","101483","","112827","116846","143574","153536","167216","173714","196388","183922","185562","197797","202116","","201075","201296","201296","153445","158842","",
"Nauru","NRU","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","65","","","","","","","","","","","","","","71","","","","","","","","","","","","","71","","74","64","61","63","58","65","52","62","56","","","","","","40","","45","","","69","63","","","62","",
"New Zealand","NZL","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","19163","19499","19831","20086","","21339","21297","21273","20063","","22277","17306","","16728","","","16169","16057","16154","17729","18960","19583","","19443","","18146","19523","18654","19739","19490","20368","20363","20053","21562","21681","22083","22257","22730","23800","24053","23872","23829","","25071.830078125","25406.92578125","25787.17578125","25761.830078125","26126.47265625","26808.5703125","26684.94921875","26607.22265625","26591","","",
"OECD members","OED","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","4755438","4778733.5","4832958","4893777","4887938.5","4868787","4848647.5","4856570.5","4853111.5","4876874","5038438","5055286","5094839","5075630.5","5067384","5068130","5097533.5","5091868","5124972.5","5157892","5190873.5","5219685.5","5257454.5","5291489","5391093","5400165.5","5444002","5494145.5","5507084","5568971.5","5644238","5694939","5700705","5708451.5","5716437","5776377.5","5808134","5870821.5","5918568","5916751","5945688.5","5965351","5940145","5921017","5947824.5","6044161.5","6180046.5","6229108","6276805.5","6236830.5","6142582.5","6227786.5","6259057","6267891","",
"Oman","OMN","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","196","445","722","1164","2008","2055","2523","2932","3464","3588","3959","4130","4649","5101","5476","6681","7716","8306","8529","8972","9551","10184","10839","11158","11586","11925","","12053","12421","12598","13394","14728","15775","","","","","","","","","","","","","","37916","28814","28044","28143","25232","28108","30140","",
"Other small states","OSS","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","45427.4609375","45803.7890625","47154.234375","48560.890625","50450.11328125","52619.94140625","54896.65234375","57257.64453125","60246.796875","62634.08203125","65328.6171875","67967.0859375","69694.4140625","72553.09375","74070.96875","75161.390625","77095","79429.34375","82400.9765625","83965.3515625","84422.796875","87844.546875","90063.828125","92500.0546875","95293.8828125","97836.265625","100028.5703125","101831","105121.265625","104200.5234375","107725.640625","109885.1015625","114043.6953125","118076.796875","119087.0078125","122966.9453125","125615.4765625","129054.5390625","132422.984375","137228.984375","141664.703125","144698.96875","149284.6875","151139.328125","151881.703125","156829.671875","161194.546875","165711.296875","168155.28125","171831.734375","174423.40625","176943.328125","180276.671875","180588.65625","",
"Pakistan","PAK","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","96288","105679","108035","115698","123361","130295","133295","134370","136876","140949","150004","159062","176700","177298","179000","180622","189400","196200","203449","209754","","","","","","","","","","423855","408871","413920","433461","432222","450136","427830","450027","446925","465334","463674","453164","438161","426575","417675","428281","452414","484267","520252","492753","","472197","460935","","",
"Panama","PAN","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","9431","10878","11814","11901","12133","12459","11943","12509","13032","13730","12361","12598","12853","12912","13255","13359","15446","15378","14980","15062","15249","","","","","","","","","15069","16187","16780","17296","","17882","17751","17831","18183","18364","18651","18746","19108","19340","19507","19404","19072","19072","19072","22228","23360","23053","22102","","","",
"Peru","PER","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","65965","67430","69273","71294","72993","72641","73849","75491","77844","80331","84360","86893","89370","98113","101307","106600","108452","115093","122199","129793","132556","134687","135502","145396","145795","146242","151664","153951","170162","151261","150922","147432","170737","175302","177364","177060","184005","183266","184641","187894","191177","187654","181292","196036","197928","195444","195273","197603","206638","212567","210704","212859","215899","217304","",
"Philippines","PHL","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","243833","247106","250783","256906","259833","261817","252862","256370","","252338","264241","273492","272134","281456","286246","289251","292602","301530","302195","314838","317023","314722","317012","320634","323414","334822","341183","354568","360357","359798","362427","362431","371384","376988","373035","375978","390432","397468","435385","423035","440084","442652","457884","467270","470194","493084","482743","495636","514231","524646","527228","523741","","",
"Palau","PLW","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","127","124","","","","","","","","","","","","","","","","","","","","","196","121","124","",
"Papua New Guinea","PNG","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","6439","6738","7381","7438","7545","7544","8067","8568","8590","9312","","9935","10163","","11184","","12318","12294","12527","13171","13105","13417","14117","14378","15298","","","","","","15798","14390","","","","","","","","","","","","","","","35896","","","","","","","","",
"Poland","POL","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","289113","","235763","","235950","231609","233612","238917","238741","239888","215813","214730","211238","211201","219826","229490","225581","283469","253077","135357","132447","131275","","",
"Pre-demographic dividend","PRE","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","553569.625","589508.5625","624822.25","655526.0625","710256.625","741595.375","789582.4375","861290.6875","988545.375","1102644","1150492.125","1215336.5","1264849.25","1313794","1340172.375","1326033.75","1313418.375","1307324.25","1338028.125","1398248.875","1382233.875","1433946","1476940.125","1556552.875","1566361.125","1598041.25","1620864","1657855.125","1678786.875","1734859.125","1809850.75","1931624.625","2034858.625","2244899.25","2336011","2439600.5","2558337.75","2599419","2712516","2852645.25","3004437","3227231","3245743.75","3674257","3853428","3925119.5","4046447","4179857.75","4348226","4287879.5","4255416.5","4461593.5","4552002","4635591","",
"Puerto Rico","PRI","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","18283","17895","18340","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26058","25708","22395","19081","20457","19266","18028","16810","","14453","","","","","","",
"Korea, Dem. People's Rep.","PRK","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70298","","","","","","","","","74274","","","","","","",
"Portugal","PRT","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","44231","48352","55046","59485","62647","63808","65124","68401","68746","67452","68188","69048","74903","73343","75456","","","72593","72140","71105","72131","76444","","","","","","61258","61908","69578","69109","65548","71519","70795","64274","66956","66106","67734","64929","59955","54222","50276","49355","50001","50982","51382","51126","51105","52436","52476","","",
"Paraguay","PRY","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","13135","13872","14114","14506","16401","15398","16208","","17525","18038","18948","19748","20746","21524","22090","22764","23407","23949","24729","26317","27831","29172","32732","33061","34580","38686","41713","43812","","","","","35709","33607","33434","","","","","","","","34694","","","","","","","","","","","","",
"West Bank and Gaza","PSE","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9753","10766","10501","13315","12022","14049","15789","11806","12752","13448","14136","14491","16042","17375","18242","18620","18759","19267","19298","19964","21621","23458","23601","24178","25038","",
"Pacific island small states","PSS","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","9529.0322265625","9798.3603515625","10279.6787109375","10109.826171875","10229.177734375","10467.9833984375","10546.7568359375","10593.4736328125","10787.9677734375","10814.8837890625","10851.8427734375","10784.603515625","11036.6279296875","11308.0888671875","11563.65234375","11586.7255859375","12115.5732421875","12337.6064453125","12572.8564453125","12819.53125","12919.501953125","12869.49609375","12981.6826171875","13089.4619140625","13363.6474609375","13791.81640625","13622.6669921875","13965.3525390625","13953.0849609375","13513.0859375","12982.5078125","13417.19140625","13552.31640625","13666.513671875","13952.3955078125","13922.392578125","13857.7265625","13671.779296875","13959.328125","13884.1298828125","14119.474609375","14169.1533203125","14714.896484375","14625.1904296875","15058.408203125","14289.640625","14770.119140625","15253.453125","15775.94921875","16632.3125","16548.86328125","16765.798828125","","","",
"Post-demographic dividend","PST","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","4171200.25","4184576.5","4218034.5","4246785","4232223.5","4216413.5","4172888","4151403.25","4137656","4115422.75","4240906.5","4205087","4216016.5","4171505","4143956","4122732.5","4123937","4100890.25","4124340.25","4147427.5","4175187.75","4181897.5","4185354","4206954.5","4287938","4280126.5","4324926","4347723.5","4335745","4386907","4479423","4527360.5","4547794","4569260","4593600","4642688","4665273","4714904","4744871.5","4733329.5","4754016","4782695.5","4735151","4702410","4738197","4822008.5","4938058","4998851.5","4985880.5","4943870.5","4974041","5078800.5","5091512","5112166","",
"French Polynesia","PYF","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","771","1173","1064","1213","1149","1213","1295","","","1427","1556","1544","1361","1295","1337","","","1967","1921","1936","1976","1700","1741","1970","1974","2052","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Qatar","QAT","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","772","878","949","1024","1100","1252","1377","1577","1813","2037","2029","2303","2508","2798","2871","3154","3141","3732","3980","4037","4286","4598","4917","5656","5853","5864","","5679","4648","","4961","5201","5684","","6298","6639","6791","6248","7544","7374","8421","10566","10677","10478","11221","11971","12435","12649","13093","13131","13077","13159","13998","",
"Romania","ROU","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","58850","","","","","56882","56324","55213","57572","","57140","56938","57014","58195","61960","69536","71829","71078","68644","64057","60312","58978","56635","57536","57099","55821","55487","54550","54069","52272","47560","45959","50626","50857","50098","48591","48009","48935","48156","47414","47048","47126","","",
"Russian Federation","RUS","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","215000","","","","","248000","","","304000","320000","340000","363000","385000","395000","","","","","366900","349035","335505","327581","325672","","317023","301204","292639","284789","277657","","","281503","285029","289051","296994","300639","309219","321587","","325500","327198","328588","327102","",
"Rwanda","RWA","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","7025","7153","7586","7777","7854","8022","8161","8131","8508","10002","11912","13043","13590","14105","14394","14896","16003","16975","17921","18524","19183","18937","","","","","20232","22435","23730","26499","28698","26024","27319","28254","26944","30637","31037","32338","33158","35583","40299","40397","40159","41193","42005","43558","43906","42073","43878","","60666","63046","67539","",
